zip,panels_1_years_0_incentive,panels_2_years_0_incentive,panels_3_years_0_incentive,panels_4_years_0_incentive,panels_5_years_0_incentive
99501,0,0,0,0,0
99502,0,0,0,0,0
99503,0,0,0,0,0
99504,0,0,0,0,0
99506,0,0,0,0,0
99507,0,0,0,0,0
99508,0,0,0,0,0
99515,0,0,0,0,0
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,0
99701,0,0,0,0,0
99703,0,0,0,0,0
99709,0,0,0,0,0
99712,0,0,0,0,0
35004,0,0,0,0,0
35005,0,0,0,0,0
35007,24,24,24,24,24
35014,0,0,0,0,0
35020,0,0,0,0,0
35022,0,0,0,0,0
35023,0,0,0,0,0
35040,4,4,4,4,4
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,74,74,74,74,74
35057,0,0,0,0,0
35058,0,0,0,0,0
35061,0,0,0,0,0
35064,0,0,0,0,0
35068,0,0,0,0,0
35071,0,0,0,0,0
35072,0,0,0,0,0
35073,0,0,0,0,0
35077,0,0,0,0,0
35080,0,0,0,0,0
35094,0,0,0,0,0
35096,1,1,1,1,1
35111,4,4,4,4,4
35114,0,0,0,0,0
35115,0,0,0,0,0
35116,0,0,0,0,0
35117,11,11,11,11,11
35118,0,0,0,0,0
35124,27,27,27,27,27
35126,3,3,3,3,3
35127,0,0,0,0,0
35147,3,3,3,3,3
35150,3,3,3,3,3
35151,0,0,0,0,0
35160,0,0,0,0,0
35173,0,0,0,0,0
35176,0,0,0,0,0
35179,1,1,1,1,1
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,8,8,8,8,8
35204,7,7,7,7,7
35205,0,0,0,0,0
35206,0,0,0,0,0
35207,0,0,0,0,0
35208,0,0,0,0,0
35209,0,0,0,0,0
35210,0,0,0,0,0
35211,0,0,0,0,0
35212,31,31,31,31,31
35213,8,8,8,8,8
35214,0,0,0,0,0
35215,57,57,57,57,57
35216,0,0,0,0,0
35217,0,0,0,0,0
35218,38,38,38,38,38
35221,8,8,8,8,8
35222,0,0,0,0,0
35223,0,0,0,0,0
35224,7,7,7,7,7
35226,49,49,49,49,49
35228,0,0,0,0,0
35233,3,3,3,3,3
35234,0,0,0,0,0
35235,0,0,0,0,0
35242,0,0,0,0,0
35243,0,0,0,0,0
35244,0,0,0,0,0
35401,193,193,193,193,193
35404,53,53,53,53,53
35405,81,81,81,81,81
35406,25,25,25,25,25
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,2,2,2,2,2
35456,0,0,0,0,0
35463,0,0,0,0,0
35473,0,0,0,0,0
35474,0,0,0,0,0
35475,0,0,0,0,0
35476,0,0,0,0,0
35490,0,0,0,0,0
35601,0,0,0,0,0
35603,0,0,0,0,0
35611,30,30,30,30,30
35613,0,0,0,0,0
35614,0,0,0,0,0
35616,0,0,0,0,0
35630,0,0,0,0,0
35633,0,0,0,0,0
35634,0,0,0,0,0
35645,0,0,0,0,0
35660,0,0,0,0,0
35661,38,38,38,38,38
35671,0,0,0,0,0
35673,0,0,0,0,0
35674,0,0,0,0,0
35741,0,0,0,0,0
35748,0,0,0,0,0
35749,0,0,0,0,0
35750,0,0,0,0,0
35754,0,0,0,0,0
35756,0,0,0,0,0
35757,24,24,24,24,24
35758,0,0,0,0,0
35759,9,9,9,9,9
35761,0,0,0,0,0
35763,0,0,0,0,0
35773,0,0,0,0,0
35775,1,1,1,1,1
35801,0,0,0,0,0
35802,0,0,0,0,0
35803,0,0,0,0,0
35805,0,0,0,0,0
35806,0,0,0,0,0
